Country_Region,Deaths,Confirmed,Incident_Rate,Case_Fatality_Ratio
Brazil,11053,493391,6973.545977127652,2.2402111104580342
Brazil,15087,878360,25207.87977268253,1.7176328612414045
Brazil,11010,607356,21855.30981444311,1.8127753739157924
Brazil,65507,4189760,19792.1553479365,1.5635024440540748
Brazil,19021,871612,10131.648003310524,2.182278353212209
Brazil,10542,707743,17613.75387089557,1.4895237395495258
Brazil,46018,2918459,25524.488154013525,1.5767910393807143
Brazil,22686,1156640,12102.45272845624,1.961370867339881
Brazil,8354,424866,12980.034687481191,1.9662670112458986
Brazil,8715,585935,16708.285177622216,1.48736634609641
Brazil,41919,2961756,26032.291314263504,1.4153427898854598
Brazil,76844,2752662,15943.649509876748,2.791624979746878
Brazil,7432,482910,27172.13633614202,1.5390031268766438
Brazil,2180,182485,30124.917252843945,1.194618735786503
Brazil,22703,1985888,27717.33092451584,1.143216535877149
Brazil,179039,6469442,14088.79787558318,2.7674566059947674
Brazil,6502,359674,15646.871095612469,1.8077481274709877
Brazil,4232,365538,23240.25059986038,1.1577455695440693
Brunei,225,279661,63924.99822850259,0.08045455033057881
Bulgaria,38228,1297523,18673.573727646977,2.946229084185791
Burkina Faso,396,22056,105.51455135409864,1.7954298150163222
Burma,19490,633950,1165.1394967604544,3.0743749507058915
Burundi,38,53631,451.030087931146,0.07085454308142679
Cabo Verde,413,63244,11375.065648898895,0.6530263740433875
Cambodia,3056,138719,829.7101538126958,2.2030147276148186
Cameroon,1965,124392,468.5927721169671,1.5796835809376808
Canada,5622,629269,14258.966279384367,0.8934176004220771
Canada,5249,396817,7764.105736798308,1.3227759899399472
Canada,1,0,,
Canada,0,13,,0.0
Canada,2464,154712,11231.222554785169,1.592636640984539
Canada,834,88866,11393.17916955665,0.9384916616028628
Canada,318,54757,10502.622922520692,0.5807476669649543
Canada,22,11511,25634.687332977017,0.1911215359221614
Canada,794,140793,14404.009588145564,0.5639484917574027
Canada,7,3531,9105.20887055183,0.19824412347776835
Canada,16234,1601325,10884.610048772323,1.0137854589168345
Canada,93,56523,35738.312320590805,0.16453479114696673
Canada,18160,1320325,15464.692139802948,1.3754189309450324
Canada,0,13,,0.0
Canada,1890,153651,13002.912836622192,1.2300603315305465
Canada,32,4989,12145.187204829836,0.6414111044297455
Central African Republic,113,15368,318.1936011780286,0.7352941176470589
Chad,194,7679,46.74945766915448,2.526370621174632
Chile,1961,183811,30255.26143392798,1.0668567169538277
Chile,2922,293632,30675.369610456903,0.9951231473408892
Chile,900,79718,35262.84126899871,1.1289796532778043
Chile,718,116955,40476.70136773908,0.6139113334188363
Chile,222,36352,35239.14771515539,0.6106954225352113
Chile,4824,510730,32806.292374446384,0.9445303780862687
Chile,1951,211158,27872.479164081706,0.9239526799837089
Chile,2577,243060,29329.993194225222,1.0602320414712416
Chile,1411,148252,38523.32286136728,0.9517578177697434
Chile,774,67653,40624.3807533642,1.1440734335506186
Chile,3354,346804,33188.57361596249,0.967116872931108
Chile,30869,1967389,27659.80749093748,1.5690338819623368
Chile,1333,158355,32948.82118312391,0.8417795459568691
Chile,2821,221916,24264.915724040653,1.2712017159645992
Chile,1173,113542,34348.58632978176,1.033097884483275
Chile,2,42,,4.761904761904762
Chile,6461,492917,27144.47145275461,1.310768344366293
China,7,2275,3.5974067046173306,0.3076923076923077
China,20,40774,189.29433611884863,0.04905086574778045
China,11,14715,47.437137330754354,0.07475365273530411
China,2,17122,43.44582593250444,0.011680878402055835
China,2,1742,6.6059916571861965,0.1148105625717566
China,10,103248,90.99947117927024,0.009685417635208431
China,2,13371,27.143727161997564,0.01495774437214868
China,2,2534,7.038888888888889,0.07892659826361484
